#Command: python /pacific/home/mdejesus//TRASH/mean_counts.py -f glycerol_H37Rv_rep1.wig,glycerol_H37Rv_rep2.wig -pt /pacific/home/mdejesus//TRASH/H37Rv.gff3 -n TTR -o normalized_counts3.txt
#Summarized to Mean Gene Counts with TRANSIT.
#Reads normalized using 'TTR'
#Normalization Factors: 2.286197257382532 1.4371695843583265
#Files:
#glycerol_H37Rv_rep1.wig
#glycerol_H37Rv_rep2.wig
#Orf	Name	Number of TA sites	glycerol_H37Rv_rep1.wig	glycerol_H37Rv_rep2.wig
Rv0122	-	9	90.43	24.11
Rv0123	-	8	0.00	0.00
Rv0124	PE_PGRS2	13	87.58	83.80
Rv0125	pepA	10	54.87	112.10
Rv0126	treS	31	2.43	7.42
Rv0127	-	30	0.00	6.66
Rv0128	-	19	189.15	245.68
Rv0129c	fbpC	28	6.37	38.70
Rv0130	-	4	17.72	70.78
Rv0131c	fadE1	18	112.91	103.96
Rv0132c	fgd2	15	216.27	199.67
Rv0133	-	7	333.78	455.79
Rv0134	ephF	12	305.59	275.82
Rv0135c	-	11	159.83	147.90
Rv0136	cyp138	23	174.45	169.02
Rv0137c	msrA	11	83.13	118.76
Rv0138	-	6	813.89	480.73
Rv0139	-	12	550.78	482.65
Rv0140	-	15	171.92	247.38
Rv0141c	-	9	106.18	104.43
Rv0142	-	6	98.69	188.75
Rv0143c	-	27	150.47	188.43
Rv0144	-	14	274.83	222.86
Rv0145	-	15	181.83	174.09
Rv0146	-	16	243.48	290.04
Rv0147	-	26	401.40	439.72
Rv0148	-	16	220.19	184.86
Rv0149	-	21	103.31	118.94
Rv0150c	-	4	4.00	23.35
Rv0151c	PE1	44	173.96	215.61
Rv0152c	PE2	40	206.50	180.04
Rv0153c	ptbB	11	16.00	39.20
Rv0154c	fadE2	12	47.25	48.98
Rv0155	pntAa	10	81.39	46.85
Rv0156	pntAb	1	77.73	218.45
Rv0157	pntB	14	85.73	33.77
Rv0158	-	16	96.16	207.49
Rv0159c	PE3	50	337.63	278.21
Rv0160c	PE4	42	252.30	308.75
Rv0161	-	19	25.99	18.00
Rv0162c	adhE1	16	47.72	89.73
Rv0163	-	10	108.59	106.64
Rv0164	TB18.5	8	12.00	72.22
Rv0165c	-	8	94.88	148.39
Rv0166	fadD5	27	281.54	306.54
Rv0167	yrbE1A	7	34.95	52.56
Rv0168	yrbE1B	14	493.00	276.66
Rv0169	mce1A	39	364.38	223.87
Rv0170	mce1B	18	138.82	43.99
Rv0171	mce1C	25	166.34	117.96
Rv0172	mce1D	33	178.12	122.07
Rv0173	lprK	16	283.49	239.83
Rv0174	mce1F	31	418.30	275.52
Rv0175	-	9	546.15	372.55
Rv0176	-	15	504.03	140.08
Rv0177	-	12	245.00	82.52
Rv0178	-	11	222.59	161.62
Rv0179c	lprO	22	186.74	178.34
Rv0180c	-	28	73.32	60.72
Rv0181c	-	15	30.48	79.43
Rv0182c	sigG	21	140.22	200.72
Rv0183	-	15	293.24	329.59
Rv0184	-	11	147.77	116.15
Rv0185	-	10	150.66	161.39
Rv0186	bglS	34	73.76	68.52
Rv0187	-	7	77.73	59.13
Rv0188	-	10	55.55	23.28
Rv0189c	ilvD	22	0.00	0.00
Rv0190	-	3	236.24	16.77
Rv0191	-	19	476.01	601.42
Rv0192	-	13	497.51	467.74
Rv0192A	-	2	530.40	346.36
Rv0193c	-	34	145.98	177.79
Rv0194	-	55	318.07	298.83
Rv0195	-	6	357.41	379.65
Rv0196	-	7	211.96	191.55
Rv0197	-	33	74.47	74.86
Rv0198c	-	42	47.14	29.63
Rv0199	-	12	114.50	52.22
Rv0200	-	7	10.78	52.76
Rv0201c	-	8	15.43	38.44
Rv0202c	mmpL11	39	40.86	31.47
Rv0203	-	3	346.74	268.27
Rv0204c	-	19	12.51	10.67
Rv0205	-	12	123.26	115.21
Rv0206c	mmpL3	34	0.00	2.79
Rv0207c	-	9	94.50	96.29
Rv0208c	trmB	12	2.48	7.78
Rv0209	-	15	136.10	96.39
Rv0210	-	13	278.92	247.75
Rv0211	pckA	24	0.00	6.59
Rv0212c	nadR	6	156.22	158.57
Rv0213c	-	31	155.54	211.36
Rv0214	fadD4	34	153.91	158.13
Rv0215c	fadE3	18	174.89	144.52
Rv0216	-	23	18.99	22.37
Rv0217c	lipW	21	111.81	78.84
Rv0218	-	19	281.20	186.68
Rv0219	-	11	125.12	146.20
Rv0220	lipC	24	86.21	60.60
Rv0221	-	28	150.48	164.50
Rv0222	echA1	8	47.72	51.92
Rv0223c	-	25	57.25	92.38
Rv0224c	-	15	0.00	0.00
Rv0225	-	20	0.00	0.00
Rv0226c	-	29	48.96	31.27
Rv0227c	-	23	0.00	0.00
Rv0228	-	14	47.85	57.79
Rv0229c	-	16	120.03	143.72
Rv0230c	php	16	609.27	586.37
Rv0231	fadE4	36	177.94	169.63
Rv0232	-	9	226.84	372.23
Rv0233	nrdB	11	225.50	244.45
Rv0234c	gabD1	23	66.70	55.49
Rv0235c	-	27	52.16	43.86
Rv0236c	-	39	0.00	0.00
Rv0236A	-	3	0.00	0.00
Rv0237	lpqI	13	12.31	70.97
Rv0238	-	13	21.28	9.51
Rv0239	-	2	282.35	225.64
Rv0240	-	9	68.08	71.06
Rv0241c	-	16	20.15	26.77
Rv0242c	fabG	11	0.00	1.83
Rv0243	fadA2	20	28.12	33.49
Rv0244c	fadE5	23	98.21	112.66
Rv0245	-	4	52.01	21.56
Rv0246	-	33	99.97	54.18
Rv0247c	-	12	0.00	0.00
Rv0248c	sdhA	39	22.86	0.11
Rv0249c	-	23	12.42	1.19
Rv0250c	-	4	11.43	53.53
Rv0251c	hsp	5	56.70	48.58
Rv0252	nirB	41	130.48	141.05
Rv0253	nirD	7	22.54	70.22
Rv0254c	cobU	6	306.35	272.58
Rv0255c	cobQ1	15	145.10	101.56
Rv0256c	PPE2	32	125.31	107.83
Rv0257	-	3	229.38	57.97
Rv0258c	-	8	31.72	40.96
Rv0259c	-	8	117.74	47.43
Rv0260c	-	22	35.96	26.46
Rv0261c	narK3	25	78.83	56.91
Rv0262c	aac	7	26.13	55.02
Rv0263c	-	16	229.48	236.59
Rv0264c	-	10	217.42	264.15
Rv0265c	-	9	374.17	273.06
Rv0266c	oplA	42	380.60	403.57
Rv0267	narU	15	312.75	308.61
Rv0268c	-	13	279.62	391.57
Rv0269c	-	11	169.39	223.28
Rv0270	fadD2	25	297.75	235.47
Rv0271c	fadE6	34	129.64	153.23
Rv0272c	-	16	54.30	78.86
Rv0273c	-	17	78.00	50.22
Rv0274	-	8	104.59	199.59
Rv0275c	-	9	73.92	48.23
Rv0276	-	17	145.24	179.90
Rv0277c	-	6	115.07	59.64
Rv0278c	PE_PGRS3	26	83.80	76.83
Rv0279c	PE_PGRS4	19	132.72	120.80
Rv0280	PPE3	26	193.89	265.93
Rv0281	-	14	224.05	185.19
Rv0282	-	24	0.29	3.35
Rv0283	-	24	0.00	0.00
Rv0284	-	61	0.00	0.00
Rv0285	PE5	5	0.00	0.00
Rv0286	PPE4	31	0.59	0.28
Rv0287	esxG	5	0.00	0.00
Rv0288	esxH	7	0.00	0.00
Rv0289	-	13	0.00	0.00
Rv0290	-	19	0.00	0.00
Rv0291	mycP3	13	0.00	0.00
Rv0292	-	17	13.45	33.65
Rv0293c	-	27	136.58	97.94
Rv0294	tam	14	86.55	83.56
Rv0295c	-	10	199.59	248.34
Rv0296c	-	42	96.18	99.95
Rv0297	PE_PGRS5	14	135.05	128.73
Rv0298	-	5	169.18	146.02
Rv0299	-	2	76.59	274.50
Rv0300	-	5	523.54	540.66
Rv0301	-	7	183.55	251.30
Rv0302	-	8	426.95	199.59
Rv0303	-	12	393.80	213.18
Rv0304c	PPE5	136	118.78	126.26
Rv0305c	PPE6	60	128.45	104.89
Rv0306	-	8	140.89	194.74
Rv0307c	-	9	83.83	162.88
Rv0308	-	15	21.95	67.16
Rv0309	-	12	36.39	28.02
Rv0310c	-	12	10.29	33.89
Rv0311	-	17	76.92	91.30
Rv0312	-	22	48.74	50.17
Rv0313	-	5	300.41	509.62
Rv0314c	-	7	449.40	451.89
Rv0315	-	10	214.67	91.55
Rv0316	-	8	99.45	99.34
Rv0317c	glpQ2	13	228.44	243.99
Rv0318c	-	8	133.46	73.48
Rv0319	pcp	8	170.32	175.33
Rv0320	-	16	465.96	406.54
Rv0321	dcd	6	43.44	195.69
Rv0322	udgA	24	66.30	112.22
Rv0323c	-	12	87.07	87.31
Rv0324	-	12	26.86	34.73
Rv0325	-	6	532.30	584.45
Rv0326	-	9	130.31	76.81
Rv0327c	cyp135A1	24	114.60	83.00
Rv0328	-	11	139.46	126.21
Rv0329c	-	9	238.02	249.59
Rv0330c	-	9	316.51	399.21
Rv0331	-	18	99.58	100.68
Rv0332	-	12	414.56	413.19
Rv0333	-	4	47.44	348.51
Rv0334	rmlA	19	0.00	0.00
Rv0335c	PE6	2	93.73	131.50
Rv0336	-	18	338.48	318.65
Rv0337c	aspC	22	0.00	0.00
Rv0338c	-	37	4.33	0.27
Rv0339c	-	30	96.93	139.69
Rv0340	-	5	5.03	9.77
Rv0341	iniB	19	59.68	80.41
Rv0342	iniA	27	263.42	273.75
Rv0343	iniC	13	152.12	128.57
Rv0344c	lpqJ	12	220.05	201.92
Rv0345	-	7	148.28	218.24
Rv0346c	ansP2	29	7.49	55.75
Rv0347	-	18	58.30	38.32
Rv0348	-	18	0.51	15.73
Rv0349	-	8	33.72	83.54
Rv0350	dnaK	17	0.00	0.00
Rv0351	grpE	9	0.00	0.00
Rv0352	dnaJ1	14	64.83	62.72
Rv0353	hspR	6	234.34	242.64
Rv0354c	PPE7	5	330.58	416.78
Rv0355c	PPE8	172	179.41	202.10
Rv0356c	-	9	405.16	264.44
Rv0357c	purA	24	0.00	0.00
Rv0358	-	13	5.80	0.11
Rv0359	-	11	669.44	937.69
Rv0360c	-	9	53.85	172.14
Rv0361	-	8	27.15	58.21
Rv0362	mgtE	16	141.17	317.43
Rv0363c	fba	17	0.00	0.00
Rv0364	-	13	4.40	6.85
Rv0365c	-	20	285.77	265.45
Rv0366c	-	6	253.39	136.05
Rv0367c	-	2	248.05	60.36
Rv0368c	-	17	256.59	236.71
Rv0369c	-	7	25.80	82.53
Rv0370c	-	21	32.22	29.29
Rv0371c	-	7	14.70	1.85
Rv0372c	-	6	65.54	65.87
Rv0373c	-	38	56.19	67.40
Rv0374c	-	6	40.77	0.24
Rv0375c	-	8	14.57	62.34
Rv0376c	-	21	179.85	129.89
Rv0377	-	9	66.05	78.57
Rv0378	-	3	126.50	85.75
Rv0379	secE2	3	534.21	365.04
Rv0380c	-	10	3.66	8.77
Rv0381c	-	17	192.18	228.09
Rv0382c	pyrE	12	0.00	0.00
Rv0383c	-	9	69.35	65.79
Rv0384c	clpB	25	0.00	0.00
Rv0385	-	19	259.54	221.48
Rv0386	-	44	204.20	221.23
Rv0387c	-	14	187.47	299.44
Rv0388c	PPE9	10	38.64	80.63
Rv0389	purT	9	129.81	282.00
Rv0390	-	8	22.00	83.00
Rv0391	metZ	21	19.81	50.10
Rv0392c	ndhA	16	110.17	97.28
Rv0393	-	10	288.06	437.62
Rv0394c	-	10	157.29	277.95
Rv0395	-	7	40.50	59.95
Rv0396	-	5	37.04	69.27
Rv0397	-	3	291.11	156.17
Rv0398c	-	5	14.63	32.48
Rv0399c	lpqK	24	74.87	69.10
Rv0400c	fadE7	10	46.64	53.61
Rv0401	-	3	86.11	98.21
Rv0402c	mmpL1	55	95.98	121.53
Rv0403c	mmpS1	7	32.66	51.74
Rv0404	fadD30	87	25.36	26.32
Rv0405	pks6	123	68.36	71.01
Rv0406c	-	14	251.48	350.26
Rv0407	fgd1	20	160.95	117.20
Rv0408	pta	43	121.54	90.81
Rv0409	ackA	17	54.33	79.81
Rv0410c	pknG	31	0.00	0.00
Rv0411c	glnH	9	0.00	0.00
Rv0412c	-	23	0.00	0.00
Rv0413	mutT3	7	310.27	404.05
Rv0414c	thiE	10	2.74	41.25
Rv0415	thiO	12	0.00	0.00
Rv0416	thiS	4	0.00	0.00
Rv0417	thiG	15	0.00	0.00
Rv0418	lpqL	28	110.31	107.74
Rv0419	lpqM	22	133.64	152.80
Rv0420c	-	9	120.66	116.89
Rv0421c	-	10	75.44	151.62
Rv0422c	thiD	14	0.00	0.00
Rv0423c	thiC	22	4.16	8.23
Rv0424c	-	8	370.36	295.34
Rv0425c	ctpH	41	99.09	192.02
Rv0426c	-	2	98.31	250.79
Rv0427c	xthA	13	82.30	65.67
Rv0428c	-	16	206.19	152.34
Rv0429c	def	9	0.00	0.00
Rv0430	-	3	0.00	0.00
Rv0431	-	10	1.14	14.37
Rv0432	sodC	12	75.83	114.37
Rv0433	-	23	275.34	256.00
Rv0434	-	13	172.70	238.46
Rv0435c	-	23	372.15	414.03
Rv0436c	pssA	17	2.69	6.09
Rv0437c	psd	8	0.00	5.75
Rv0438c	moeA2	14	146.97	174.00
Rv0439c	-	19	171.71	159.83
Rv0440	groEL	13	0.00	0.00
Rv0441c	-	9	162.57	139.09
Rv0442c	PPE10	24	138.98	179.89
Rv0443	-	14	343.09	524.36
Rv0444c	-	9	50.80	126.79
Rv0445c	sigK	10	554.86	570.13
Rv0446c	-	17	129.64	159.10
Rv0447c	ufaA1	27	232.43	330.97
Rv0448c	-	16	301.49	319.05
Rv0449c	-	23	282.69	251.69
Rv0450c	mmpL4	84	54.49	66.78
Rv0451c	mmpS4	15	17.07	9.58
Rv0452	-	10	238.68	330.84
Rv0453	PPE11	23	166.59	168.52
Rv0454	-	6	352.46	274.74
Rv0455c	-	11	0.00	0.00
Rv0456c	echA2	11	243.79	240.66
Rv0456A	-	4	132.60	338.45
Rv0457c	-	38	210.81	234.56
Rv0458	-	23	91.55	87.67
Rv0459	-	5	32.01	44.55
Rv0460	-	3	79.25	84.31
Rv0461	-	16	448.81	376.54
Rv0462	lpd	27	0.00	0.00
Rv0463	-	4	126.88	234.98
Rv0464c	-	15	64.17	59.50
Rv0465c	-	28	409.56	291.80
Rv0466	-	8	171.46	144.26
Rv0467	icl	18	0.00	6.31
Rv0468	fadB2	13	72.45	56.05
Rv0469	umaA	24	45.44	97.85
Rv0470c	pcaA	12	89.16	52.70
Rv0470A	-	11	410.48	587.41
Rv0471c	-	12	299.30	448.16
Rv0472c	-	10	11.43	19.83
Rv0473	-	16	195.33	201.20
Rv0474	-	7	320.72	482.68
Rv0475	hbhA	9	45.47	138.45
Rv0476	-	6	101.74	140.60
Rv0477	-	5	376.31	371.94
Rv0478	deoC	3	166.13	149.94
Rv0479c	-	13	0.00	10.06
Rv0480c	-	16	493.68	349.41
Rv0481c	-	12	665.09	557.98
Rv0482	murB	13	0.00	0.00
Rv0483	lprQ	29	527.80	564.81
Rv0484c	-	10	409.92	365.62
Rv0485	-	23	115.90	115.60
Rv0486	-	13	0.70	12.60
Rv0487	-	9	350.55	444.56
Rv0488	-	9	46.99	169.91
Rv0489	gpm1	11	0.00	0.00
Rv0490	senX3	16	140.03	135.99
Rv0491	regX3	9	375.19	352.90
Rv0492c	-	18	228.62	224.92
Rv0492A	-	5	192.96	311.58
Rv0493c	-	17	130.04	168.74
Rv0494	-	7	87.53	34.29
Rv0495c	-	13	83.01	67.44
Rv0496	-	8	10.29	71.50
Rv0497	-	14	0.00	20.63
Rv0498	-	12	274.72	250.79
Rv0499	-	5	244.62	228.22
Rv0500	proC	13	0.00	0.00
Rv0500A	-	4	0.00	29.82
Rv0500B	-	1	121.17	110.66
Rv0501	galE2	25	94.56	140.79
Rv0502	-	19	118.88	103.55
Rv0503c	cmaA2	20	411.86	398.31
Rv0504c	-	8	13.15	0.00
Rv0505c	serB1	22	1.66	30.64
Rv0506	mmpS2	9	188.74	371.75
Rv0507	mmpL2	81	58.20	96.27
Rv0508	-	8	262.91	199.41
Rv0509	hemA	22	0.00	0.00
Rv0510	hemC	12	0.00	0.00
Rv0511	hemD	18	0.00	0.00
Rv0512	hemB	22	16.52	4.25
Rv0513	-	7	255.40	128.52
Rv0514	-	2	505.25	464.92
Rv0515	-	18	353.22	309.63
Rv0516c	-	9	51.82	255.98
Rv0517	-	21	271.40	418.70
Rv0518	-	12	313.02	246.12
Rv0519c	-	9	358.42	260.93
Rv0520	-	5	383.17	324.80
Rv0521	-	5	158.66	214.14
Rv0522	gabP	23	268.58	190.77
Rv0523c	-	9	241.83	225.80
Rv0524	hemL	21	0.00	0.00
Rv0525	-	10	7.54	0.43
Rv0526	-	7	0.00	0.00
Rv0527	ccdA	5	0.00	0.00
Rv0528	-	16	0.00	0.00
Rv0529	ccsA	18	0.00	0.00
Rv0530	-	17	235.34	221.92
Rv0531	-	4	1.71	0.72
Rv0532	PE_PGRS6	20	100.25	97.08
Rv0533c	fabH	16	175.04	194.20
Rv0534c	menA	11	0.00	0.00
Rv0535	pnp	9	59.44	243.52
Rv0536	galE3	12	176.61	189.35
Rv0537c	-	19	254.85	228.36
Rv0538	-	15	305.74	210.11
Rv0539	-	6	57.54	31.62
Rv0540	-	11	75.03	47.69
Rv0541c	-	18	0.00	0.00
Rv0542c	menE	14	0.00	0.00
Rv0543c	-	2	0.00	0.00
Rv0544c	-	6	300.25	214.38
Rv0545c	pitA	14	76.42	87.98
Rv0546c	-	8	435.52	284.92
Rv0547c	-	10	160.26	116.41
Rv0548c	menB	12	0.38	26.11
Rv0549c	-	4	149.17	130.06
Rv0550c	-	3	148.60	607.44
Rv0551c	fadD8	32	127.67	197.07
Rv0552	-	19	119.00	97.80
Rv0553	menC	12	23.43	38.56
Rv0554	bpoC	14	420.82	499.83
Rv0555	menD	15	0.00	0.00
Rv0556	-	13	0.00	0.00
Rv0557	pimB	14	36.91	42.81
Rv0558	ubiE	14	0.00	0.00
Rv0559c	-	6	131.84	166.23
Rv0560c	-	15	48.62	126.66
Rv0561c	-	18	129.04	105.87
Rv0562	grcC1	14	0.00	0.00
Rv0563	htpX	11	17.87	0.65
Rv0564c	gpsA	11	108.07	197.28
Rv0565c	-	36	175.85	196.33
Rv0566c	-	5	135.80	113.25
Rv0567	-	19	224.29	340.84
Rv0568	cyp135B1	12	234.34	190.78
Rv0569	-	3	639.37	643.37
Rv0570	nrdZ	37	80.08	153.62
Rv0571c	-	13	84.06	94.96
Rv0572c	-	8	254.91	472.83
Rv0573c	-	16	50.44	103.93
Rv0574c	-	20	104.59	187.84
Rv0575c	-	14	146.97	196.28
Rv0576	-	19	25.63	41.07
Rv0577	TB27.3	13	146.49	107.68
Rv0578c	PE_PGRS7	27	34.89	59.03
Rv0579	-	15	138.39	121.68
Rv0580c	-	9	214.39	162.72
Rv0581	-	4	113.74	132.22
Rv0582	-	9	20.32	29.06
Rv0583c	lpqN	7	243.64	388.24
Rv0584	-	62	110.88	119.89
Rv0585c	-	41	82.53	95.17
Rv0586	-	12	17.72	35.93
Rv0587	yrbE2A	12	74.49	67.55
Rv0588	yrbE2B	15	12.19	51.83
Rv0589	mce2A	27	62.66	58.34
Rv0590	mce2B	10	42.07	84.36
Rv0590A	-	7	47.68	43.12
Rv0591	mce2C	22	108.70	112.62
Rv0592	mce2D	29	43.75	70.12
Rv0593	lprL	19	103.24	153.32
Rv0594	mce2F	30	248.20	254.00
Rv0595c	-	8	265.77	308.09
Rv0596c	-	5	0.00	0.00
Rv0597c	-	13	226.33	233.04
Rv0598c	-	7	29.72	168.56
Rv0599c	-	6	64.78	29.46
Rv0600c	-	3	75.44	15.33
Rv0601c	-	4	182.32	148.75
Rv0602c	tcrA	11	41.78	148.94
Rv0603	-	1	0.00	22.99
Rv0604	lpqO	7	255.07	288.87
Rv0605	-	10	268.63	363.03
Rv0606	-	8	50.87	75.09
Rv0607	-	1	70.87	0.00
Rv0608	-	2	164.61	25.15
Rv0609	-	7	153.50	143.31
Rv0609A	-	2	203.47	77.61
Rv0610c	-	11	112.02	186.05
Rv0611c	-	12	137.17	140.48
Rv0612	-	6	156.99	68.98
Rv0613c	-	16	387.80	338.36
Rv0614	-	14	437.48	390.91
Rv0615	-	4	392.08	291.39
Rv0616c	-	6	296.06	199.53
Rv0617	-	3	291.87	287.43
Rv0618	galTa	9	68.84	113.38
Rv0619	galTb	12	73.35	39.40
Rv0620	galK	9	56.65	25.71
Rv0621	-	9	165.37	187.15
Rv0622	-	13	7.74	36.70
Rv0623	-	3	108.21	149.47
Rv0624	-	6	104.78	183.72
Rv0625c	-	10	139.00	158.66
Rv0626	-	4	128.60	104.19
Rv0627	-	1	0.00	0.00
Rv0628c	-	4	177.75	210.90
Rv0629c	recD	16	118.74	142.73
Rv0630c	recB	34	91.65	122.96
Rv0631c	recC	19	114.91	82.98
Rv0632c	echA3	13	159.68	265.66
Rv0633c	-	13	285.95	256.59
Rv0634c	-	13	154.76	215.02
Rv0634A	-	6	9.91	76.89
Rv0634B	rpmG	3	0.00	0.00
Rv0635	-	14	0.00	0.00
Rv0636	-	7	0.00	0.00
Rv0637	-	7	0.00	0.00
Rv0638	secE	9	0.00	0.00
Rv0639	nusG	12	0.00	0.00
Rv0640	rplK	5	0.00	0.00
Rv0641	rplA	7	0.00	0.00
Rv0642c	mmaA4	18	0.00	27.15
Rv0643c	mmaA3	22	78.87	275.94
Rv0644c	mmaA2	11	263.95	357.59
Rv0645c	mmaA1	20	525.25	561.21
Rv0646c	lipG	10	210.33	395.51
Rv0647c	-	14	43.44	42.09
Rv0648	-	38	304.73	321.09
Rv0649	fabD2	4	106.88	107.43
Rv0650	-	5	595.33	453.57
Rv0651	rplJ	5	0.00	0.00
Rv0652	rplL	0	0.00	0.00
Rv0653c	-	11	33.46	103.48
Rv0654	-	27	334.63	289.08
Rv0655	mkl	14	166.40	144.54
Rv0656c	-	4	212.62	388.04
Rv0657c	-	1	52.58	265.88
Rv0658c	-	17	133.54	70.84
Rv0659c	-	4	213.76	349.23
Rv0660c	-	2	60.58	340.61
Rv0661c	-	5	363.96	116.12
Rv0662c	-	6	112.79	187.07
Rv0663	atsD	46	54.27	64.33
Rv0664	-	3	166.89	227.07
Rv0665	-	5	72.24	18.11
Rv0666	-	0	0.00	0.00
Rv0667	rpoB	38	0.00	0.00
Rv0668	rpoC	51	4.53	12.12
Rv0669c	-	37	257.72	270.93
Rv0670	end	5	358.93	324.80
Rv0671	lpqP	13	128.91	103.59
Rv0672	fadE8	27	69.01	73.14
Rv0673	echA4	9	100.59	224.68
Rv0674	-	7	19.92	55.02
Rv0675	echA5	4	9.72	6.83
Rv0676c	mmpL5	32	76.94	148.79
Rv0677c	mmpS5	6	63.25	108.27
